,x,y,coords,geometry,net,name,vn_kv,type,zone,in_service,min_vm_pu,max_vm_pu,consumer_bus,plz
0,11.600020107463695,48.13423214363496,,POINT (11.600020107463695 48.13423214363496),0,LVbus 1,0.4,n,,True,0.95,1.05,False,81675
1,11.600020107463695,48.13438214363496,,POINT (11.600020107463695 48.13438214363496),0,MVbus 1,20.0,n,,True,0.95,1.05,False,81675
2,11.600020107463695,48.13423214363496,,POINT (11.600020107463695 48.13423214363496),0,Connection Nodebus 20,0.4,n,,True,0.95,1.05,False,81675
3,11.59976023201384,48.134319541395314,,POINT (11.59976023201384 48.134319541395314),0,Connection Nodebus 1223,0.4,n,,True,0.95,1.05,False,81675
4,11.599954385374616,48.13445415473371,,POINT (11.599954385374616 48.13445415473371),0,Connection Nodebus 2606,0.4,n,,True,0.95,1.05,False,81675
5,11.5995067,48.13437529638103,,POINT (11.5995067 48.13437529638103),0,Connection Nodebus 548,0.4,n,,True,0.95,1.05,False,81675
6,11.600543354155043,48.134309798203404,,POINT (11.600543354155043 48.134309798203404),0,Connection Nodebus 2250,0.4,n,,True,0.95,1.05,False,81675
7,11.600674154593735,48.13460796867504,,POINT (11.600674154593735 48.13460796867504),0,Connection Nodebus 513,0.4,n,,True,0.95,1.05,False,81675
8,11.599941730921755,48.13409843355908,,POINT (11.599941730921755 48.13409843355908),0,Consumer Nodebus 19,0.4,n,AB,True,0.95,1.05,True,81675
9,11.599660363047835,48.13415963619879,,POINT (11.599660363047835 48.13415963619879),0,Consumer Nodebus 1222,0.4,n,AB,True,0.95,1.05,True,81675
10,11.600587190306198,48.134624135069,,POINT (11.600587190306198 48.134624135069),0,Consumer Nodebus 1298,0.4,n,AB,True,0.95,1.05,True,81675
11,11.600300091322513,48.13435890036898,,POINT (11.600300091322513 48.13435890036898),0,Consumer Nodebus 2249,0.4,n,MFH,True,0.95,1.05,True,81675
12,11.599577590806987,48.13455499773612,,POINT (11.599577590806987 48.13455499773612),0,Consumer Nodebus 2565,0.4,n,Public,True,0.95,1.05,True,81675
13,11.600099508457353,48.134393207662946,,POINT (11.600099508457353 48.134393207662946),0,Consumer Nodebus 2605,0.4,n,Public,True,0.95,1.05,True,81675
