,ags
0,9178145.0
1,9474126.0
2,9373143.0
3,9172131.0
4,9376119.0
5,9679202.0
6,9576132.0
7,9572126.0
8,9471214.0
9,9474121.0
10,9574128.0
11,9471207.0
12,9181139.0
13,9274156.0
14,9162000.0
15,9278121.0
16,9376149.0
17,9184120.0
18,9464000.0
19,9176139.0
20,9184113.0
21,9475169.0
22,9477159.0
23,9187120.0
24,9780143.0
25,9475156.0
26,9778134.0
27,9188141.0
28,9273127.0
29,9181116.0
30,9176114.0
31,9772202.0
32,9763000.0
33,9573122.0
34,9771140.0
35,9572149.0
36,9375210.0
37,9172128.0
38,9676123.0
39,9461000.0
40,9577111.0
41,9187165.0
42,9372177.0
43,9574138.0
44,9574139.0
45,9375183.0
46,9188137.0
47,9278143.0
48,9278179.0
49,9181140.0
50,9184145.0
51,9184142.0
52,9776114.0
53,9773133.0
54,9181114.0
55,9571170.0
56,9275124.0
57,9262000.0
58,9188132.0
59,9776129.0
60,9564000.0
61,9279127.0
62,9478120.0
63,9562000.0
64,9187186.0
65,9274183.0
66,9171125.0
67,9274193.0
68,9180135.0
69,9577115.0
70,9677178.0
71,9372175.0
72,9182132.0
73,9762000.0
74,9173126.0
75,9676134.0
76,9190118.0
77,9271113.0
78,9780125.0
79,9163000.0
80,9679205.0
81,9761000.0
82,9663000.0
83,9175139.0
84,9274134.0
85,9174115.0
86,9174113
