name,s_max_kva,max_i_a,r_mohm_per_km,x_mohm_per_km,z_mohm_per_km,kosten_eur,typ,anwendungsgebiet
Tr_100,100,,,,,2000,Transformer,1
Tr_160,160,,,,,3000,Transformer,2
Tr_250,250,,,,,5000,Transformer,3
Tr_400,400,,,,,8000,Transformer,4
Tr_630,630,,,,,12000,Transformer,5
NAYY_4_185,,313,164,80,181,33,Kabel,0
NYY_4_95,,280,193,82,210,37,Kabel,1
NAYY_4_150,,270,208,80,223,24,Kabel,2
NFA2X_4_95,,245,320,0,320,10,Kabel,3
NAYY_4_120,,242,225,80,239,19,Kabel,4
NYY_4_70,,232,268,82,280,28,Kabel,5
NAYY_4_95,,215,320,82,330,21,Kabel,6
NFA2X_4_70,,205,443,0,443,8,Kabel,7
NFA2X_4_50,,165,641,0,641,7,Kabel,8
NAYY_4_50,,142,642,83,647,11,Kabel,9
NYY_4_35,,159,524,85,531,16,Kabel,10
NYY_4_16,,103,1150,90,1153,7,Kabel,11
